sMAC,dMAC,typEth,srcIP,dstIP,proto,sPort,dPort,action
00:0b:82:01:fc:42,*,0x0800,*,72.21.195.82,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,176.32.101.122,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,50.205.244.39,17,*,123,forward
00:0b:82:01:fc:42,*,*,*,224.0.0.22,2,*,*,forward
00:0b:82:01:fc:42,*,0x0800,*,239.255.255.250,17,*,1900,forward
00:0b:82:01:fc:42,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,forward
00:0b:82:01:fc:42,*,0x0800,*,18.205.68.150,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,52.46.133.19,6,*,443,forward
*,*,0x0800,*,*,1,*,*,forward
00:0b:82:01:fc:42,*,0x0800,*,93.184.216.34,6,*,80,forward
*,*,0x0800,*,*,17,*,53,forward
00:0b:82:01:fc:42,*,0x0800,*,52.119.166.39,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,52.94.213.35,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,208.67.220.220,17,*,53,forward
00:0b:82:01:fc:42,*,0x0800,*,54.231.128.201,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,13.227.177.127,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,93.184.216.34,6,*,80,forward
00:0b:82:01:fc:42,*,0x0800,*,38.229.60.9,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,34.120.225.113,6,*,443,forward
*,*,0x0800,*,*,17,*,67,forward
00:0b:82:01:fc:42,*,0x0800,*,216.197.228.230,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,176.32.98.203,6,*,80,forward
00:0b:82:01:fc:42,*,0x0800,*,54.209.44.8,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,13.227.165.92,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,224.0.0.251,17,*,5353,forward
00:0b:82:01:fc:42,*,0x0800,*,23.23.78.109,17,*,33434,forward
00:0b:82:01:fc:42,*,0x0800,*,13.227.165.36,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,44.190.6.254,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,93.184.216.34,6,*,80,forward
*,00:0b:82:01:fc:42,0x0800,50.205.244.39,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,18.205.68.150,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,13.227.177.127,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,52.94.213.35,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,216.197.228.230,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,52.46.133.19,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,38.229.60.9,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,44.190.6.254,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,93.184.216.34,*,6,80,*,forward
*,*,0x0800,*,*,17,67,*,forward
*,00:0b:82:01:fc:42,0x0800,208.67.220.220,*,17,53,*,forward
*,00:0b:82:01:fc:42,0x0800,54.209.44.8,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,54.231.128.201,*,6,443,*,forward
*,*,0x0800,*,*,17,53,*,forward
*,00:0b:82:01:fc:42,0x0800,72.21.195.82,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,34.120.225.113,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,13.227.165.92,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,23.23.78.109,*,17,33434,*,forward
*,00:0b:82:01:fc:42,0x0800,176.32.98.203,*,6,80,*,forward
*,00:0b:82:01:fc:42,0x0800,13.227.165.36,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,176.32.101.122,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,93.184.216.34,*,6,80,*,forward
*,*,0x0800,*,*,17,*,50000,forward
*,00:0b:82:01:fc:42,0x0800,93.184.216.34,*,6,80,*,forward
*,00:0b:82:01:fc:42,0x0800,52.119.166.39,*,6,443,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
