,sEth,dEth,typEth,Source,Destination,proto,sPort,dPort,priority,action
0,9e:8d:de:80:29:28,*,0x0800,*,dcape-na.amazon.com,6,*,443,*,forward
1,9e:8d:de:80:29:28,*,0x0800,*,softwareupdates.amazon.com,6,*,443,*,forward
2,9e:8d:de:80:29:28,*,0x0800,*,3.north-america.pool.ntp.org,17,*,123,*,forward
3,9e:8d:de:80:29:28,*,*,*,224.0.0.22/32,2,*,*,*,forward
4,9e:8d:de:80:29:28,*,0x0800,*,239.255.255.250/32,17,*,1900,*,forward
5,9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255/32,17,*,67,*,forward
6,9e:8d:de:80:29:28,*,0x0800,*,ntp-g7g.amazon.com,17,*,123,*,forward
7,9e:8d:de:80:29:28,*,0x0800,*,todo-ta-g7g.amazon.com,6,*,443,*,forward
8,*,*,0x0800,*,*,1,*,*,*,forward
9,9e:8d:de:80:29:28,*,0x0800,*,www.example.org,6,*,80,*,forward
10,*,*,0x0800,*,*,17,*,53,*,forward
11,9e:8d:de:80:29:28,*,0x0800,*,pindorama-us-west-2.amazon.com,6,*,443,*,forward
12,9e:8d:de:80:29:28,*,0x0800,*,tinytts-us-west-2.amazon.com,6,*,443,*,forward
13,9e:8d:de:80:29:28,*,0x0800,*,208.67.220.220/32,17,*,53,*,forward
14,9e:8d:de:80:29:28,*,0x0800,*,device-fingerprintdb-v1.s3.amazonaws.com,6,*,443,*,forward
15,9e:8d:de:80:29:28,*,0x0800,*,api.amazonalexa.com,6,*,443,*,forward
16,9e:8d:de:80:29:28,*,0x0800,*,www.example.com,6,*,80,*,forward
17,9e:8d:de:80:29:28,*,0x0800,*,1.north-america.pool.ntp.org,17,*,123,*,forward
18,9e:8d:de:80:29:28,*,0x0800,*,www.meethue.com,6,*,443,*,forward
19,*,*,0x0800,*,*,17,*,67,*,forward
20,9e:8d:de:80:29:28,*,0x0800,*,2.north-america.pool.ntp.org,17,*,123,*,forward
21,9e:8d:de:80:29:28,*,0x0800,*,kindle-time.amazon.com,6,*,80,*,forward
22,9e:8d:de:80:29:28,*,0x0800,*,device-metrics-us.amazon.com,6,*,443,*,forward
23,9e:8d:de:80:29:28,*,0x0800,*,files.whooshkaa.com,6,*,443,*,forward
24,9e:8d:de:80:29:28,*,0x0800,*,224.0.0.251/32,17,*,5353,*,forward
25,9e:8d:de:80:29:28,*,0x0800,*,pins.amazon.com,17,*,33434,*,forward
26,9e:8d:de:80:29:28,*,0x0800,*,media.whooshkaa.com,6,*,443,*,forward
27,9e:8d:de:80:29:28,*,0x0800,*,0.north-america.pool.ntp.org,17,*,123,*,forward
28,9e:8d:de:80:29:28,*,0x0800,*,www.example.net,6,*,80,*,forward
29,*,9e:8d:de:80:29:28,0x0800,3.north-america.pool.ntp.org,*,17,123,*,*,forward
30,*,9e:8d:de:80:29:28,0x0800,ntp-g7g.amazon.com,*,17,123,*,*,forward
31,*,9e:8d:de:80:29:28,0x0800,api.amazonalexa.com,*,6,443,*,*,forward
32,*,9e:8d:de:80:29:28,0x0800,tinytts-us-west-2.amazon.com,*,6,443,*,*,forward
33,*,9e:8d:de:80:29:28,0x0800,2.north-america.pool.ntp.org,*,17,123,*,*,forward
34,*,9e:8d:de:80:29:28,0x0800,todo-ta-g7g.amazon.com,*,6,443,*,*,forward
35,*,9e:8d:de:80:29:28,0x0800,1.north-america.pool.ntp.org,*,17,123,*,*,forward
36,*,9e:8d:de:80:29:28,0x0800,0.north-america.pool.ntp.org,*,17,123,*,*,forward
37,*,9e:8d:de:80:29:28,0x0800,www.example.com,*,6,80,*,*,forward
38,*,*,0x0800,*,*,17,67,*,*,forward
39,*,9e:8d:de:80:29:28,0x0800,208.67.220.220/32,*,17,53,*,*,forward
40,*,9e:8d:de:80:29:28,0x0800,device-metrics-us.amazon.com,*,6,443,*,*,forward
42,*,9e:8d:de:80:29:28,0x0800,device-fingerprintdb-v1.s3.amazonaws.com,*,6,443,*,*,forward
43,*,*,0x0800,*,*,17,53,*,*,forward
44,*,9e:8d:de:80:29:28,0x0800,dcape-na.amazon.com,*,6,443,*,*,forward
45,*,9e:8d:de:80:29:28,0x0800,www.meethue.com,*,6,443,*,*,forward
46,*,9e:8d:de:80:29:28,0x0800,files.whooshkaa.com,*,6,443,*,*,forward
47,*,9e:8d:de:80:29:28,0x0800,pins.amazon.com,*,17,33434,*,*,forward
48,*,9e:8d:de:80:29:28,0x0800,kindle-time.amazon.com,*,6,80,*,*,forward
49,*,9e:8d:de:80:29:28,0x0800,media.whooshkaa.com,*,6,443,*,*,forward
50,*,9e:8d:de:80:29:28,0x0800,softwareupdates.amazon.com,*,6,443,*,*,forward
51,*,9e:8d:de:80:29:28,0x0800,www.example.net,*,6,80,*,*,forward
52,*,*,0x0800,*,*,17,*,50000,*,forward
53,*,9e:8d:de:80:29:28,0x0800,www.example.org,*,6,80,*,*,forward
54,*,9e:8d:de:80:29:28,0x0800,pindorama-us-west-2.amazon.com,*,6,443,*,*,forward
55,*,*,0x0006,*,*,*,*,*,*,forward
56,*,*,0x888e,*,*,*,*,*,*,forward
57,9e:8d:de:80:29:28,*,0x0800,*,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,6,*,443,*,forward
59,9e:8d:de:80:29:28,*,0x0800,*,rpsv2.video-cloud.net,6,*,443,*,forward
60,9e:8d:de:80:29:28,*,0x0800,*,iconfig.august.com,6,*,443,*,forward
62,9e:8d:de:80:29:28,*,0x0800,*,rpsv12.video-cloud.net,6,*,443,*,forward
63,9e:8d:de:80:29:28,*,0x0800,*,vcsv2.video-cloud.net,6,*,443,*,forward
64,9e:8d:de:80:29:28,*,0x0800,*,8.8.4.4/32,1,*,*,*,forward
65,9e:8d:de:80:29:28,*,0x0800,*,rpsv3.video-cloud.net,6,*,443,*,forward
66,9e:8d:de:80:29:28,*,0x0800,*,doorbells.august.com,1,*,*,*,forward
67,9e:8d:de:80:29:28,*,0x0800,*,rpsv7.video-cloud.net,6,*,443,*,forward
68,9e:8d:de:80:29:28,*,0x0800,*,v2servers.video-cloud.net,6,*,443,*,forward
69,9e:8d:de:80:29:28,*,0x0800,*,8.8.8.8/32,17,*,53,*,forward
71,9e:8d:de:80:29:28,*,0x0800,*,rpsv11.video-cloud.net,6,*,443,*,forward
72,9e:8d:de:80:29:28,*,0x0800,*,rpsv222.video-cloud.net,6,*,443,*,forward
73,9e:8d:de:80:29:28,*,0x0800,*,august.pubnub.com,6,*,443,*,forward
74,9e:8d:de:80:29:28,*,0x0800,*,logger.august.com,6,*,443,*,forward
75,9e:8d:de:80:29:28,*,0x0800,*,s3-us-west-2.amazonaws.com,6,*,443,*,forward
76,9e:8d:de:80:29:28,*,0x0800,*,rpsv4.video-cloud.net,6,*,443,*,forward
77,9e:8d:de:80:29:28,*,0x0800,*,doorbells.august.com,6,*,443,*,forward
78,9e:8d:de:80:29:28,*,0x0800,*,rbs-sticky.august.com,6,*,443,*,forward
79,9e:8d:de:80:29:28,*,0x0800,*,rpsv1.video-cloud.net,6,*,443,*,forward
80,9e:8d:de:80:29:28,*,0x0800,*,rpsv10.video-cloud.net,6,*,443,*,forward
81,9e:8d:de:80:29:28,*,0x0800,*,rpsv5.video-cloud.net,6,*,443,*,forward
82,9e:8d:de:80:29:28,*,0x0800,*,dmsv2.video-cloud.net,6,*,443,*,forward
83,9e:8d:de:80:29:28,*,0x0800,*,8.8.8.8/32,1,*,*,*,forward
84,*,9e:8d:de:80:29:28,0x0800,rpsv7.video-cloud.net,*,6,443,*,*,forward
85,*,9e:8d:de:80:29:28,0x0800,august.pubnub.com,*,6,443,*,*,forward
86,*,9e:8d:de:80:29:28,0x0800,rpsv2.video-cloud.net,*,6,443,*,*,forward
87,*,9e:8d:de:80:29:28,0x0800,s3-us-west-2.amazonaws.com,*,6,443,*,*,forward
88,*,9e:8d:de:80:29:28,0x0800,logger.august.com,*,6,443,*,*,forward
