sEth,dEth,typEth,proto,sPort,dPort,Source,Destination,action
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,dcape-na.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,softwareupdates.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,3.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.22/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,1900,*,239.255.255.250/32,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,ntp-g7g.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,todo-ta-g7g.amazon.com,forward
*,*,0x0800,1,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.example.org,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,pindorama-us-west-2.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,tinytts-us-west-2.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,208.67.220.220/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,device-fingerprintdb-v1.s3.amazonaws.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,api.amazonalexa.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.example.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,1.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.meethue.com,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,2.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,kindle-time.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,device-metrics-us.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,files.whooshkaa.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,5353,*,224.0.0.251/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,33434,*,pins.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,media.whooshkaa.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,0.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.example.net,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,3.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,ntp-g7g.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,api.amazonalexa.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,tinytts-us-west-2.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,2.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,todo-ta-g7g.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,1.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,0.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.example.com,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,53,*,208.67.220.220/32,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,device-metrics-us.amazon.com,*,forward
*,*,0x0800,1,*,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,device-fingerprintdb-v1.s3.amazonaws.com,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,dcape-na.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,www.meethue.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,files.whooshkaa.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,33434,*,pins.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,kindle-time.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,media.whooshkaa.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,softwareupdates.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.example.net,*,forward
*,*,0x0800,17,*,50000,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.example.org,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,pindorama-us-west-2.amazon.com,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv2.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,iconfig.august.com,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv12.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,vcsv2.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,8.8.4.4/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv3.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,doorbells.august.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv7.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,v2servers.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,8.8.8.8/32,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv11.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv222.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,august.pubnub.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,logger.august.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,s3-us-west-2.amazonaws.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv4.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,doorbells.august.com,forward
