decIP_src_ipaddr_cache,decIP_dst_ipaddr_cache,src_port_cache,dst_port_cache,protocol_cache,flow_ack_counter,flow_psh_counter,flow_syn_counter,flow_active_start_time_stamp,flow_duration,flow_total_inactive_duration,flow_total_packets,forward_total_packets,flow_active_segments,flow_current_time_stamp,flow_min_duration,flow_start_time_stamp,flow_total_active_duration,flow_total_length,forward_total_length,fw_win_byt,Packet Length Mean,Subflow Fwd Bytes
192.168.10.05,192.168.10.03,49189.0,88.0,6.0,8.0,2.0,2.0,36809273.0,1592.0,0.0,10.0,10.0,0.0,36810865.0,0.0,36809273.0,0.0,3524.0,3524.0,8192.0,352.4,10.0
192.168.10.05,192.168.10.03,49193.0,389.0,6.0,14.0,8.0,2.0,37136888.0,574299.0,0.0,16.0,16.0,0.0,37711187.0,0.0,37136888.0,0.0,4740.0,4740.0,8192.0,296.25,16.0
192.168.10.05,192.168.10.03,49188.0,49666.0,6.0,40.0,28.0,2.0,71086479.0,34277917.0,71086479.0,42.0,42.0,1.0,71086647.0,0.0,36808730.0,3205605.0,13798.0,13798.0,8192.0,328.5238095238095,42.0
192.168.10.05,23.15.04.09,49229.0,80.0,6.0,4.0,1.0,1.0,167631719.0,71963422.0,167631719.0,5.0,5.0,1.0,167631719.0,0.0,95668297.0,93327.0,396.0,396.0,8192.0,79.2,5.0
72.21.91.29,192.168.10.05,80.0,49208.0,6.0,5.0,2.0,1.0,88309501.0,4787794.0,0.0,5.0,5.0,0.0,93097295.0,0.0,88309501.0,0.0,1804.0,1804.0,65535.0,360.8,5.0
192.168.10.05,172.217.10.131,49215.0,443.0,6.0,0.0,0.0,1.0,90449422.0,0.0,0.0,1.0,1.0,0.0,90449422.0,0.0,90449422.0,0.0,52.0,52.0,8192.0,52.0,1.0
192.168.10.50,192.168.10.03,53562.0,389.0,6.0,10.0,4.0,2.0,167819182.0,1028.0,0.0,12.0,12.0,0.0,167820210.0,0.0,167819182.0,0.0,812.0,812.0,29200.0,67.66666666666667,12.0
172.217.10.78,192.168.10.05,443.0,49222.0,6.0,13.0,5.0,1.0,92418563.0,690951.0,0.0,13.0,13.0,0.0,93109514.0,0.0,92418563.0,0.0,4527.0,4527.0,42780.0,348.2307692307692,13.0
192.168.10.05,134.170.30.202,49233.0,443.0,6.0,8.0,3.0,1.0,107223306.0,302929.0,0.0,9.0,9.0,0.0,107526235.0,0.0,107223306.0,0.0,1188.0,1188.0,8192.0,132.0,9.0
192.168.10.05,172.217.10.78,49222.0,443.0,6.0,12.0,6.0,1.0,92381551.0,728007.0,0.0,13.0,13.0,0.0,93109558.0,0.0,92381551.0,0.0,1095.0,1095.0,8192.0,84.23076923076923,13.0
192.168.10.05,192.168.10.03,49182.0,88.0,6.0,6.0,2.0,2.0,36160733.0,4315.0,0.0,8.0,8.0,0.0,36165048.0,0.0,36160733.0,0.0,784.0,784.0,8192.0,98.0,8.0
172.217.09.228,192.168.10.05,443.0,49212.0,6.0,15.0,8.0,1.0,89950327.0,311948.0,0.0,15.0,15.0,0.0,90262275.0,0.0,89950327.0,0.0,5245.0,5245.0,42780.0,349.6666666666667,15.0
172.217.09.228,192.168.10.05,443.0,49210.0,6.0,13.0,5.0,1.0,89827812.0,3282067.0,0.0,13.0,13.0,0.0,93109879.0,0.0,89827812.0,0.0,4503.0,4503.0,42780.0,346.38461538461536,13.0
192.168.10.03,192.168.10.05,389.0,49193.0,6.0,12.0,6.0,2.0,37136996.0,574152.0,0.0,14.0,14.0,0.0,37711148.0,0.0,37136996.0,0.0,1604.0,1604.0,8192.0,114.57142857142857,14.0
192.168.10.03,192.168.10.05,389.0,49195.0,6.0,13.0,6.0,2.0,37975482.0,10177.0,0.0,13.0,13.0,0.0,37985659.0,0.0,37975482.0,0.0,6514.0,6514.0,8192.0,501.0769230769231,13.0
192.168.10.03,192.168.10.05,389.0,49191.0,6.0,12.0,6.0,2.0,37129963.0,584016.0,0.0,12.0,12.0,0.0,37713979.0,0.0,37129963.0,0.0,2046.0,2046.0,8192.0,170.5,12.0
192.168.10.03,192.168.10.05,445.0,49159.0,6.0,16.0,0.0,0.0,160539443.0,150168945.0,502584232.0,16.0,16.0,5.0,160599421.0,0.0,10430476.0,69801.0,788.0,788.0,2049.0,49.25,16.0
172.217.10.131,192.168.10.05,443.0,49214.0,6.0,124.0,35.0,1.0,90265550.0,2843572.0,0.0,124.0,124.0,0.0,93109122.0,0.0,90265550.0,0.0,155432.0,155432.0,42780.0,1253.483870967742,124.0
23.217.41.219,192.168.10.05,80.0,49197.0,6.0,6.0,3.0,1.0,148352995.0,109895542.0,148352995.0,6.0,6.0,1.0,148352995.0,0.0,38457453.0,222212.0,4943.0,4943.0,29200.0,823.8333333333334,6.0
192.168.10.05,172.217.12.195,49220.0,443.0,6.0,9.0,4.0,1.0,91834631.0,125018.0,0.0,10.0,10.0,0.0,91959649.0,0.0,91834631.0,0.0,908.0,908.0,8192.0,90.8,10.0
23.202.233.152,192.168.10.05,80.0,49201.0,6.0,4.0,1.0,1.0,148357299.0,109198148.0,214122835.0,5.0,5.0,2.0,148357299.0,0.0,39159151.0,38328.0,513.0,513.0,29200.0,102.6,5.0
192.168.10.05,23.15.04.19,49228.0,80.0,6.0,5.0,1.0,1.0,167631770.0,71963564.0,167631770.0,6.0,6.0,1.0,167631770.0,0.0,95668206.0,33295.0,455.0,455.0,8192.0,75.83333333333333,6.0
